SAMPLE,BIOMASS_MG_M3
360-85,2.2
372-29,0.1333
362-5,0.6
362-85,4.4
311-37,2.3333
358-101,6
373-49,1.4667
373-69,1.3333
373-65,1.7333
373-85,0.8
311-25,4.6
339-41,10.9333
241-85,5.7333
339-53,15.6667
214-13,13.4667
15-58,3.8667
100-18,2.7333
108-90,1.818
7-20,2.202
51-18,3.2
4-10,2.0528
4-18,3.8225
13-34,4.1333
13-50,3.3333
83-58,1.3333
83-70,4.7333
98-6,2.2667
6-78,0.3333
19-6,3.2
19-34,7.8
45-6,2.1333
45-14,2.5333
77-6,1.0667
83-82,8
100-34,2.4667
108-14,1.2793
108-78,2.4913
1-6,5.4667
18-30,1.3333
15-38,0.2
15-78,2
9-26,1.4
19-26,4.7333
69-74,1.8
1-22,0.4667
12-34,2.9333
43-26,0.9533
43-46,3.4467
66-30,3.3333
2-78,1.2667
8-78,1.0667
77-82,-0.1333
83-78,1.4
83-94,5.0667
100-50,1.2667
136-30,7.2
12-50,4.5333
51-82,2.4
4-46,1.7697
6-18,2.8667
136-38,4.6
7-46,7.6006
14-34,0.2667
14-46,1.6
18-2,2.4667
51-54,5.4667
8-26,0.8
8-30,2.1333
100-78,1.2667
12-78,0.7333
14-42,0.8667
82-86,4.2
8-50,1.5333
6-74,2.0667
13-18,2.9333
15-18,0.0667
69-62,11.2667
7-62,4.7592
12-14,0.4
431-37,8.4667
392-69,12.8
401-9,18.7333
401-13,14.8667
401-21,13.3333
400-1,3
400-9,1.8667
400-17,13.1333
400-21,20.3333
402-33,11.9333
402-73,7.1333
402-77,7.3333
402-85,6.3333
403-17,4.7333
403-37,6.9333
403-65,1.2
404-29,4.5333
404-45,13.6667
404-73,14.3333
408-9,2.2
408-37,3.7333
408-53,4.6
408-57,11.6
381-57,10.9333
112-13,1.7333
112-17,2.3333
112-21,1.8
112-25,2.6
112-41,1.5333
265-17,2.4667
265-37,1.4667
265-41,1.2
265-77,5.4
207-49,0.5333
207-69,0.6667
389-21,3.5333
389-53,3.3333
412-37,1.2667
412-81,13.9333
264-1,4.3333
249-65,1.1333
413-13,5.8
413-45,11.6
413-85,18.4
414-1,7.9333
414-13,7.0667
414-81,1.6
390-37,3.4
422-53,8.4
422-69,5.8667
445-17,3.2667
416-25,1.8
416-81,4.4
416-77,2
438-13,5.4667
438-17,2.9333
438-21,2.6667
438-25,2.2667
428-5,1.2667
428-37,1.2
428-65,5.4667
423-45,6.2
432-9,2.6
432-45,1.1333
432-57,3.7333
423-33,23.8667
423-29,7.4
423-9,1.6667
423-5,1.4667
486-1,0.8667
516-89,6.8667
452-37,2.8
451-9,3.0667
442-17,2.4667
442-37,8.0667
453-1,3.9333
443-13,2.8
443-29,5.6
443-41,1.4667
443-49,2.8667
453-21,6
448-49,3.8
448-57,2.6667
456-33,12.4
456-37,11.1333
452-1,1.3333
452-33,3.4667
451-21,7.2
451-41,559.1333
451-53,6.5333
451-57,13.8667
451-69,3.6
450-45,10.8
450-57,8.6667
450-73,7.7333
459-17,2.6
481-73,15.8667
482-5,3.1333
482-9,2.6667
482-17,4.0667
483-21,3.6
513-45,2.1333
513-61,6
514-9,5.2667
519-21,1
519-41,0.8
536-21,3.8
536-33,5.2
536-41,5.4667
521-1,0.9333
521-5,4.2667
521-17,6
521-21,2.9333
521-45,7.4667
521-65,1.4667
518-21,8.9333
518-49,13
520-17,0.6667
520-65,2.6
441-73,2.7333
424-29,3.4
454-37,13.6
454-57,13
456-61,2.2
456-65,5.0667
465-1,1.2667
469-41,24.4
469-69,3.6
480-1,0.6
480-9,4.4667
513-13,3.8
519-61,1.5333
517-25,5.2667
517-49,10.1333
517-53,9.6667
516-1,0.8667
516-5,2.1333
516-25,4.6
458-53,4.8
458-61,3.2
458-81,2.8667
504-9,1.4667
446-9,2.2667
446-17,1.4
446-21,1.3333
449-21,3.9333
478-21,5.4
479-13,2.2
492-9,1.8667
492-13,3.6667
493-9,2.2667
495-5,2.6
495-9,1.4
537-5,0.6
537-21,1
537-33,1.6667
505-53,2.6
455-25,8.8
457-1,0.8667
514-41,10.1333
486-13,0.5333
487-1,0.7333
468-13,5.1333
480-29,2
480-33,3
480-41,3.1333
480-65,3.2
481-9,2.4667
481-37,5.0667
499-9,1.7333
213-29,15.0667
271-53,5.6667
271-77,9.4
271-61,6.4667
268-21,5.3333
268-81,15.1333
244-41,8.4
297-33,8.6
297-37,1.6667
300-41,1.4667
269-25,9.0667
269-57,11.4
299-1,1.2667
299-13,1.9333
299-25,0.8667
299-37,2.2667
299-45,5.9333
296-5,8.7333
296-37,2.5333
305-1,8.8
305-9,7.1333
305-49,13.2667
305-85,550.6667
296-53,0.8
308-9,1.6
304-9,2.9333
304-21,3.5333
302-77,2.2
242-17,5.5333
306-49,1.1333
306-37,4.3333
325-5,1.0667
325-9,1.2667
325-33,1.3333
325-41,0.9333
324-53,0.5333
322-9,2.6
346-41,2.6
346-65,2.9333
322-53,9.3333
322-61,2.2
328-29,8.2667
323-41,1.6667
332-81,19.6667
245-61,1.6
245-57,2.4667
245-25,4.0667
360-61,5.9333
360-69,3.0667
364-61,15.4667
364-29,5.8
366-13,1.2667
366-17,0.2667
366-25,6.7333
366-73,2.6667
365-1,1.6
362-105,8.8667
358-1,1.2
336-41,0.4667
358-29,2.7333
358-97,12.5333
254-33,7.3333
213-37,16.0667
213-81,6.4
213-101,1.4667
324-17,1.6667
323-21,1.5333
343-1,0.8
343-5,5.5333
343-45,7.5333
343-49,5.6667
343-21,3.0667
333-1,1.4667
333-33,6.3333
385-21,3.9333
392-1,4.0667
213-33,9.0667
307-53,2.8667
325-73,0.4
325-81,6.8667
324-45,0.6
323-33,1.3333
323-49,1.0667
332-53,18.4
330-49,2.4
315-37,1.4667
321-1,11.0268
349-37,1.4
360-41,9.8
339-5,5.6667
212-1,1.2667
212-29,1.4
213-45,17.4
178-77,7.8667
64-21,3.3333
64-29,5.6
270-29,3.9333
270-41,11.2
270-85,2.3333
211-65,3.9333
211-29,43.6
271-13,2.9333
271-49,4.3333
271-65,5.6
268-1,1.3333
268-13,9.4
268-53,6.5333
269-1,3.0667
300-85,1.0667
415-61,5.7333
416-41,3.8
426-5,1.2667
427-5,6.7333
427-9,13.0667
427-37,1.1333
427-41,3.6
427-49,2.5333
427-61,1.7333
432-69,15.8
445-45,2.2667
298-49,6.0667
298-81,4.4667
301-49,0.7333
348-5,1.2667
348-13,4.9333
348-21,3
348-25,2.4667
348-53,2.6
328-45,1.4
328-53,1.8
309-9,4.1333
332-25,8.2
316-81,1.2667
316-57,13.2
316-1,1.2
316-53,9
316-13,5.8667
315-29,1.4
315-57,1
321-29,28.1796
321-73,3.1991
360-9,2.4667
360-21,2.6
344-9,3.9333
344-89,1.1333
245-21,5.4
360-77,3.0667
372-13,3.9333
362-69,5.0667
358-105,3.8667
373-25,0.7333
241-13,5.5333
4-22,2.6191
19-10,2.3333
45-30,1.7333
45-38,1.1333
83-90,2.2667
100-86,4.5333
100-98,3.0667
1-38,2
2-6,1.2667
77-22,0.4
77-38,0
83-34,1.2667
83-42,2.3333
108-34,0.202
14-6,2.6
43-14,4.2533
43-30,2.2733
4-66,0.2124
19-70,16.2
45-42,0.6667
77-62,-0.4
14-26,0.0667
18-42,9.6667
43-38,1.9067
82-2,3.9333
15-70,5.4667
45-66,0.6667
69-2,1.6
83-98,1.4667
100-22,2.8667
3-78,1.9333
18-46,10.3333
82-18,1.2
82-62,0.2667
82-82,5.6
15-14,0.6
19-18,7.5333
69-26,22.3333
100-30,1.8
1-31,0.8
18-6,1.0667
43-42,3.1533
2-26,8.2
8-34,1.8667
6-58,3.6667
45-10,2.6
45-26,0.7333
83-50,1
83-74,2.9333
100-6,3.4
12-38,3.8
4-26,0.4955
13-54,3.5333
5-30,7.7333
12-2,2.7333
12-62,2
51-58,2.5333
2-18,3.9333
15-10,2.4667
83-18,1.6
108-74,2.6933
14-18,0.3333
14-70,0.1333
66-26,5.8
2-30,0.4667
431-21,5.5333
431-57,4.2
401-29,1.5333
400-29,11.1333
402-49,11.7333
403-45,4
381-21,9.8667
381-29,10.4
404-81,11.5333
408-13,2.1333
408-25,3.8667
381-49,22.2667
398-25,6.4
398-49,6.4
398-53,9.9333
398-61,4.9333
381-69,16.2667
207-5,0.4667
207-21,1.3333
207-25,1.2
207-29,0.4
207-41,0.2
389-41,3.9333
412-5,1.3333
412-85,11.4667
249-5,1.4
249-25,0.6667
249-69,9.4
413-29,2.0667
413-61,8.1333
414-9,12.9333
414-37,5
415-25,6.0667
413-89,0
431-17,3.6667
416-9,7.5333
416-65,3.7333
417-13,0.8
418-25,6.7333
438-1,11.4667
438-29,4.2
438-53,11.6
428-21,3.2
428-17,3.0667
428-29,3.8
428-61,1.5333
428-73,3.4
423-57,6.6667
423-41,8.5333
417-5,2.4667
417-29,7.3333
417-45,3.7333
432-17,14.5333
432-25,0.8667
432-41,2.2
418-13,4.0667
448-5,2.6667
467-25,1.8
467-69,18.8
468-21,2.4667
519-53,9.3333
443-45,2.5333
443-81,1.3333
453-33,8.8667
453-37,11.8
446-37,8.8
446-49,8.6
448-9,4.1333
449-33,3.6667
449-69,6.9333
451-73,6.3333
450-17,1.2
450-21,2.8667
450-65,11.8
464-17,1.2667
467-57,7.4
468-53,3.7333
468-57,4.0667
468-61,609.8
482-21,3.3333
482-61,6.2667
483-65,6.3333
513-29,2.2667
513-53,3.0667
513-65,5.6667
491-5,2.3333
498-1,1
498-13,2.7333
519-1,0.7333
519-17,1.2
505-21,6.8
537-65,17.6
536-5,2.4667
536-13,2.4
536-25,8.6
536-57,1.7333
535-29,2.64
521-29,3.8667
521-33,5.2
521-53,1.5333
518-1,7.2667
518-5,19.0667
518-13,13.2
518-41,5.4667
518-65,7.8667
520-9,0.9333
520-37,2.8
441-49,3.8
441-77,4.1333
442-57,3.9333
443-5,7.1333
442-69,5.6667
424-1,11.1333
424-13,2.8667
424-37,4.6
455-37,5.4
456-49,15.7333
465-5,1.2
465-17,2.3333
458-37,7.6667
459-1,0.6
459-5,1.4
464-41,2.9333
464-45,2.2667
464-61,2
469-45,16.3333
469-81,0.7333
482-81,5.2
519-69,1.6667
517-1,1.9333
517-17,2.4667
517-61,2.2667
516-29,5.8
516-45,5.6
458-69,2.9333
504-13,2.8
441-21,2.6667
453-25,7.1333
449-9,0.8
458-29,2.6
391-33,4.8667
391-41,6.6667
496-1,1.4
533-1,4.3318
533-13,5.8231
505-45,6.0667
455-17,6.3333
457-33,6.6667
457-41,6.4667
488-9,0.9333
468-9,6
481-33,3.5333
481-45,8
499-1,2
499-5,3.4
501-13,3.8667
178-9,9.8
178-13,7.0667
178-21,7.3333
206-41,5.6667
271-1,0.4667
268-45,7.5333
244-13,6.7333
244-77,3.8
300-25,0.4
300-45,1
300-49,1
300-53,5.4
300-73,1.4667
269-61,10.7333
298-29,6.4
299-57,3.1333
299-69,4.6
305-53,-1988.1333
308-13,1.5333
304-49,4.6
304-77,6.9333
304-85,14.4
306-25,5.6
306-29,0.7333
302-17,1.6667
302-25,6.8667
302-53,8.2667
302-57,7.8
302-61,8.4
302-65,9.4
242-13,4.4
242-25,6.8667
306-41,2.2
306-33,1.6667
306-85,2.3333
301-13,1.0667
325-29,1.1333
324-73,1.3333
346-5,1.0667
346-33,2.1333
346-45,1.4
322-45,1.8
322-69,0.6667
322-82,11.1333
328-21,5.1333
323-17,1.2
245-85,1
245-81,3.3333
245-77,0.8667
245-73,1.3333
245-65,1.7333
245-45,2.9333
245-37,4.3333
367-45,0.3333
364-65,7.2
364-57,5.1333
364-49,29.1333
364-25,13
364-21,9.6667
364-1,5.4667
366-5,1.7333
365-45,3.7333
365-49,4.7333
365-53,2.2667
362-93,4.4667
362-97,5.4
362-101,10.7333
358-61,6
339-33,17.7333
254-13,6.8667
254-25,14.2667
254-53,7.3333
213-61,9.8
297-53,2.3333
297-57,7.6667
324-29,1.0667
324-37,0.6667
343-33,2.8
343-57,10.1333
360-29,4.9333
333-9,1.0667
333-17,1.5333
385-17,5.2
385-25,2.4667
385-37,3.2667
385-65,1
384-9,0.7333
392-21,15.4
206-1,6.1333
240-25,7.5333
240-29,4.2667
307-5,5.1333
307-13,0.8
307-45,2.9333
306-21,7.9333
325-69,1.0667
323-1,0.3333
332-5,1.1333
332-57,6.6667
330-9,3.4667
330-45,5.0667
330-61,0.5333
330-77,2
316-85,0.8
316-9,3.6667
350-45,2.1333
321-45,0.1361
343-69,4.6667
350-13,0.8
349-21,0.3333
349-61,1.6667
354-21,4.8667
354-53,2.2667
212-17,2.2
212-49,2.4667
212-65,1
178-57,3
178-69,12.6667
206-69,4.0667
211-33,37.7333
211-45,30.6667
270-9,3.4667
270-17,3.4
270-81,3.5333
271-17,1.5333
271-37,5.6
268-29,11.3333
239-5,1.5333
240-5,6.6
415-57,7.0667
415-81,1.3333
416-13,1.4667
390-9,28.0667
426-9,1.6
426-13,1.5333
426-41,3.0667
427-57,3.7333
422-21,6.6667
422-37,2.6
298-61,5.8667
296-33,9.8667
308-1,0.4667
308-33,1.8667
308-77,0.3333
301-37,1
301-29,3.4667
348-49,6.2
322-33,1.4667
328-41,15.5333
309-13,7.2
309-21,7.2
316-89,0.6
316-73,1.1333
315-49,0.4
321-9,0.1361
359-5,2.7333
350-17,0.6667
360-17,2.2667
344-57,3.8
344-65,10.8667
367-5,0.0667
362-9,1.2
362-13,1.1333
362-57,4.2667
362-77,3.9333
336-25,9.1333
311-41,4.4667
373-1,2.8667
373-13,0.6
373-61,1.5333
373-37,2.6
373-81,1.8667
373-109,0.6
373-113,0.6
339-9,7.6667
241-53,2.8667
241-69,3.4
19-62,2.6667
77-86,1.4667
136-22,0.5333
66-18,2
66-22,5.9333
66-38,1
6-70,3.9333
15-22,0.2
136-6,5.4
136-14,0.6
3-42,1.2667
51-70,2.5333
8-18,2.6667
6-38,2.9333
13-78,4.6667
83-6,1.4667
83-86,6.3333
100-70,4.6667
3-10,5.4
7-34,2.4862
7-50,7.8137
98-30,3
135-2,1.0667
69-38,23.4
100-38,2.0667
100-62,1.2
108-26,1.616
108-46,1.9527
1-14,4.2
51-78,6
66-58,6.8
77-10,0.2
83-26,1.4667
108-6,1.2793
12-70,0.9333
14-14,0.3333
15-82,2.7333
12-54,2.2667
14-78,1.8
98-26,2.4
19-82,12.1333
77-54,0
83-46,2.1333
83-54,2.4667
100-66,1.7333
136-26,1.8667
3-58,0.7333
7-10,2.202
12-22,0.7333
43-18,1.54
51-74,3.6667
82-14,0.6667
98-18,3
6-14,1.6667
13-2,4.4
66-46,9.1333
431-33,7.6
431-41,12
431-65,6.1333
392-57,1
392-61,1.0667
401-5,21.1333
400-5,2.4
402-1,2.4
402-9,0.4
402-13,5.0667
402-41,4.4
402-53,10.3333
402-61,11.8
402-65,4.8
403-21,3.6667
403-25,5.3333
403-41,3.0667
403-57,3.0667
404-1,1
404-25,26.2
404-21,16.1333
404-89,4
381-37,14.8667
408-45,2.7333
408-69,5.7333
398-5,16.2
398-17,11.9333
398-57,6.9333
265-13,1.2667
265-29,1.1333
265-33,1
207-17,0.0667
389-5,6.8667
389-61,2.7333
412-49,1.6
412-61,1.2667
412-77,6.7333
412-89,3.2
249-13,0.9333
249-57,1.4667
413-9,5.2
413-77,5.3333
414-49,3.4
414-53,2.6667
413-93,0
390-21,47.8667
422-49,7.5333
445-13,3.2
415-85,2.8667
416-5,0.7333
416-57,19.2
417-17,2.0667
438-61,9.9333
438-69,1.7333
432-61,10.4667
428-57,5.4667
428-69,10.3333
423-49,6.2667
445-33,2.7333
417-1,2.4
445-41,3.3333
422-17,4.6
423-13,3
391-17,12.4
464-1,0.9333
463-13,2.7333
467-21,3.3333
467-29,2.4667
266-13,3.2
468-25,6.7333
468-45,24.0667
468-69,4.9333
469-21,4.0667
516-81,5.2667
452-57,9.6
441-1,0.8
442-25,9.0667
443-25,8.3333
443-53,4.2
443-65,1.8
446-45,8.1333
446-57,14.6
454-13,13.6667
454-21,8.9333
454-25,11.6
457-65,3.6
452-9,3
452-17,9.8667
451-33,2.9333
451-49,9.8667
450-1,1.4
450-5,1.5333
450-29,1.8667
450-41,9.6
464-13,1.2
464-21,2.1333
464-25,8.8
468-29,3.5333
468-33,6.5333
468-65,8.9333
481-81,11.6667
481-85,12.2
482-1,1
483-5,4.6
513-41,3.6667
514-5,5.0667
514-17,3.9333
491-1,1.0667
519-29,1.0667
505-17,8.4667
537-61,21.2667
537-73,11.2667
537-77,5.7333
536-1,6.8667
536-29,6.3333
535-9,2.4
535-13,3.36
535-45,2.4
521-41,8.6
518-37,7.2
518-53,11.5333
518-69,2.8667
518-73,4.9333
518-77,5.4667
518-85,4.0667
518-93,8.4667
520-5,1.3333
441-53,12.8
424-9,5.8667
454-41,8.6667
454-49,4.4667
456-1,8.5333
456-29,9.3333
464-33,4.3333
464-69,1.7333
464-73,3.4
505-5,10.6
469-37,14.0667
482-73,5.0667
482-97,2.9333
513-1,0.8667
513-17,2.3333
517-33,4.0667
517-37,4.8667
517-65,7.6667
504-1,6.3333
504-5,3.4667
441-5,1.6
441-13,1.5333
441-29,1.2667
446-1,1.5333
449-5,1.4
449-65,3.9333
478-9,11.2
391-29,9.7333
463-1,1.1333
481-69,14.0667
489-9,1.2
494-1,0.7333
492-1,0.4
493-13,1.1333
533-17,9.7998
533-29,10.0839
533-41,2.4855
533-49,7.8825
449-85,1.6
455-21,3.2
457-13,3
514-49,13.0667
514-61,10.5333
487-9,0.4
488-1,0.5333
480-25,2.2667
480-49,2.8
480-53,12
480-57,4.2
480-69,1.4667
481-1,12.4667
481-13,12.9333
481-65,25.2667
497-1,0.9333
501-5,1.4667
502-5,1.4667
502-13,3.9333
503-9,3.0667
