TOW,SAMPLEDATEUTC,MILES
1,2009-06-26 22:08:06,250
51,2010-08-10 04:50:44,415
54,2010-08-16 13:33:46,205
43,2010-05-29 06:42:12,375
100,2011-05-17 12:45:52,515
83,2011-03-07 19:52:10,495
87,2008-11-26 21:32:00,434.83
91,2009-02-15 01:54:00,247.24
179,2011-08-12 09:56:00,115.48
129,2011-06-11 14:02:00,180
167,2011-02-04 06:34:00,317.38
173,2012-04-14 09:54:13,290
227,2012-09-11 02:27:54,100
198,2012-08-05 06:43:48,440
380,2016-04-18 23:19:15,125
325,2014-12-03 00:31:16,410
244,2014-01-17 06:11:09,410
335,2015-02-08 22:43:43,185
399,2016-08-19 04:14:19,140
400,2016-10-27 23:38:14,150
280,2013-05-09 03:20:34,50
403,2016-11-02 04:20:19,425
303,2014-07-11 06:12:50,285
407,2016-12-01 08:47:52,385
309,2014-11-02 21:46:01,305
355,2015-08-19 22:14:23,50
321,2014-10-22 22:09:00,411.65
245,2014-01-20 04:44:30,485
310,2014-09-27 02:15:28,425
311,2014-09-23 02:06:40,235
269,2014-03-28 07:52:42,365
363,2015-12-11 21:41:23,315
408,2016-12-02 05:18:14,425
294,2013-03-02 12:04:00,65
455,2018-01-10 02:33:00,285.39
423,2017-01-20 02:03:00,295.67
537,2019-12-11 22:50:02,420
477,2018-12-19 10:59:00,390
544,2020-04-15 00:44:34,380
555,2017-12-19 05:56:00,231.34
465,2018-08-22 15:02:22,305
468,2018-11-12 17:31:00,350
485,2019-05-17 15:23:23,80
472,2016-01-15 00:00:00,426.74
474,2016-01-19 08:31:00,402.88
504,2018-10-25 21:58:00,99.94
498,2019-05-30 15:15:11,85
6,2009-08-24 05:37:16,460
76,2011-01-02 15:55:11,445
13,2009-12-15 09:18:39,405
77,2010-12-31 04:49:36,480
28,2006-02-10 09:37:38,45
113,2011-03-18 02:49:01,155
116,2011-03-21 06:43:53,140
128,2011-06-10 13:25:08,140
120,2011-03-24 23:26:03,175
147,2008-01-23 00:37:00,423.62
144,2007-12-19 06:51:00,439.35
155,2009-12-09 22:25:00,220.66
157,2009-12-11 05:43:00,277.69
194,2012-05-04 21:48:26,280
189,2011-08-16 09:29:00,725.85
207,2012-07-12 09:12:00,421.09
209,2012-01-08 10:54:00,454.25
213,2012-11-13 14:49:04,510
217,2012-09-07 07:54:07,405
252,2014-03-07 01:12:11,105
218,2012-03-14 23:32:24,210
379,2016-04-16 23:01:01,270
366,2015-11-15 22:08:54,420
386,2016-08-02 10:08:06,385
369,2015-10-27 22:10:01,210
263,2013-04-20 03:44:42,235
299,2014-06-07 09:09:55,445
271,2014-04-20 22:41:57,395
297,2014-05-23 22:12:24,435
307,2014-09-21 13:59:56,325
222,2013-06-03 02:46:24,25
235,2012-06-15 09:29:01,40
316,2013-02-19 21:38:00,447.27
327,2015-02-06 01:27:23,350
330,2015-02-06 08:03:12,440
356,2015-09-06 03:17:35,360
286,2013-02-27 04:05:22,15
353,2015-08-24 22:12:09,80
290,2013-02-28 05:04:33,175
450,2018-04-02 00:24:29,385
435,2017-10-25 22:51:27,125
424,2017-01-25 21:31:00,187.93
494,2019-05-26 15:29:35,85
560,2020-08-17 08:42:31,485
518,2019-08-03 07:18:29,515
534,2020-02-27 02:01:35,460
536,2019-12-08 11:07:41,385
554,2017-12-18 02:32:00,334.31
457,2018-07-04 01:48:44,335
558,2020-01-21 05:50:00,249.88
469,2018-11-14 17:02:08,430
522,2019-10-28 14:39:03,250
459,2018-07-08 23:09:47,140
475,2018-12-14 23:52:38,375
462,2018-08-11 02:58:43,415
470,2018-05-14 04:41:42,465
541,2017-11-07 04:45:00,442.88
2,2009-06-29 05:07:05,520
14,2010-01-11 07:43:39,440
66,2010-10-16 22:41:23,430
86,2008-11-25 14:00:00,449.84
88,2008-11-28 05:04:00,153.55
90,2009-01-04 04:23:00,119.88
185,2010-04-05 12:50:00,129.07
132,2011-06-18 07:24:49,70
112,2011-10-07 07:06:00,355
108,2011-07-27 19:14:03,490
141,2007-11-28 09:29:00,425.42
148,2008-03-22 09:40:00,399.59
149,2008-03-24 01:09:00,448.65
177,2012-04-16 23:51:28,410
181,2010-04-01 14:44:00,79.85
211,2012-09-03 23:50:48,420
210,2012-07-12 09:12:00,421.09
220,2011-10-29 16:46:00,428.12
229,2012-09-12 12:44:10,550
249,2013-06-17 11:33:17,380
377,2015-12-05 13:00:20,15
409,2016-12-03 05:08:35,440
365,2015-11-13 09:19:45,360
390,2016-01-05 09:24:00,313.64
253,2014-03-10 06:58:46,285
371,2015-11-26 17:34:41,170
372,2016-03-08 19:47:34,170
340,2015-06-15 23:02:31,100
404,2016-11-03 10:17:26,465
298,2014-06-04 00:06:40,445
223,2013-06-03 07:30:49,65
250,2013-06-16 16:52:24,400
315,2013-01-06 13:21:00,286.74
251,2013-06-17 23:47:34,395
258,2013-04-05 11:22:56,335
262,2013-04-18 03:50:23,400
273,2013-07-28 22:16:33,645
289,2013-02-27 17:30:36,90
412,2017-03-01 21:37:45,460
433,2017-08-07 07:04:17,395
419,2017-04-02 06:20:45,240
425,2017-02-09 06:44:32,260
418,2017-03-30 08:52:03,240
429,2017-07-02 01:58:26,425
441,2017-11-29 21:40:13,405
444,2018-03-03 08:25:59,315
452,2018-04-07 04:20:25,340
417,2017-03-28 23:07:33,235
497,2019-05-29 14:59:56,85
492,2019-05-24 15:33:26,85
466,2019-01-09 22:17:13,390
523,2019-10-31 02:32:17,430
479,2019-03-15 04:52:25,105
543,2020-04-12 23:17:16,385
461,2018-08-04 09:08:19,390
463,2018-06-08 23:11:05,105
489,2019-05-21 15:24:41,80
535,2019-12-05 23:14:05,440
500,2019-06-01 15:23:20,85
481,2019-02-21 18:56:36,465
491,2019-05-23 15:27:42,85
502,2019-06-03 15:24:59,85
538,2017-11-02 01:27:00,401.91
4,2009-07-27 07:31:20,405
81,2011-03-10 16:07:58,440
5,2009-08-21 18:57:33,460
68,2010-09-16 17:57:42,420
53,2010-08-15 02:55:37,485
94,2009-02-18 01:03:00,238.2
117,2011-03-22 02:42:06,185
119,2011-03-24 02:37:40,165
143,2007-12-17 21:47:00,367.64
133,2011-11-19 00:17:50,390
161,2010-03-24 18:41:00,451.53
193,2012-06-18 09:45:48,185
163,2010-10-21 22:53:00,475.49
164,2010-10-26 04:56:00,453.24
183,2010-04-03 08:40:00,155.61
184,2010-04-04 09:40:00,156.85
162,2010-03-25 23:31:00,448.02
191,2012-06-15 22:12:15,340
215,2011-10-23 21:46:00,450.01
308,2014-09-23 01:59:17,440
367,2015-11-16 23:23:27,445
326,2014-11-29 22:12:48,270
270,2014-03-31 05:55:36,460
398,2016-08-16 19:41:18,390
284,2012-08-03 12:31:38,205
347,2015-06-22 03:32:24,305
283,2012-08-02 16:17:49,170
349,2015-08-06 10:02:40,320
296,2014-05-02 05:42:33,300
354,2015-08-16 01:54:30,290
359,2014-12-05 22:43:00,421.34
364,2015-11-10 08:04:08,380
240,2014-01-01 08:52:51,235
201,2012-08-14 00:11:48,135
300,2014-06-10 04:29:12,450
314,2014-11-11 05:54:46,25
260,2013-04-09 19:04:48,50
306,2014-09-19 05:56:49,440
329,2015-02-03 13:07:26,215
360,2015-01-28 21:54:00,450.81
331,2015-02-08 09:08:10,440
285,2012-08-04 12:29:44,270
432,2017-08-02 00:53:13,355
416,2017-03-08 07:08:04,440
505,2018-12-06 09:27:00,299.91
521,2019-11-12 00:58:52,365
464,2018-09-07 00:53:29,380
467,2018-11-10 18:58:33,430
495,2019-05-27 15:16:25,85
549,2019-10-10 08:46:08,230
542,2020-05-19 22:48:46,365
556,2019-10-25 21:49:00,415.05
562,2020-08-01 09:54:54,410
565,2020-09-18 04:58:23,400
499,2019-05-31 15:11:03,85
561,2020-07-28 22:58:52,360
496,2019-05-28 14:59:12,85
509,2019-03-02 22:06:00,99.48
510,2019-03-03 11:02:00,19.83
532,2019-10-04 13:18:13,240
63,2010-04-09 09:20:42,150
69,2010-10-20 15:43:23,430
8,2009-10-19 09:54:52,415
61,2010-04-08 08:54:47,160
75,2010-11-07 03:55:07,120
74,2010-11-06 03:58:32,165
125,2011-06-08 02:20:38,40
135,2011-12-11 08:01:34,235
175,2012-04-17 07:54:40,90
206,2012-09-02 02:32:38,445
212,2012-09-07 01:23:19,330
226,2012-09-09 07:19:55,360
384,2016-07-28 23:07:56,190
389,2015-12-09 21:55:00,309.74
318,2014-11-16 14:42:23,60
370,2015-10-18 22:43:53,125
242,2013-11-08 12:27:59,150
248,2013-06-15 08:15:33,410
231,2012-08-17 01:20:37,45
232,2012-08-17 06:38:02,25
328,2015-03-01 06:11:54,305
268,2014-03-25 06:13:20,415
392,2016-08-27 01:12:50,415
344,2015-07-21 05:12:53,475
402,2016-10-31 22:04:32,430
279,2013-05-08 01:50:13,225
276,2013-04-29 04:21:29,285
342,2015-06-28 07:09:53,275
293,2013-03-01 22:50:40,65
350,2015-08-12 01:10:45,355
239,2014-01-04 01:32:57,295
257,2013-04-04 01:30:40,325
301,2014-06-06 21:12:29,300
336,2015-03-28 10:21:52,235
264,2013-06-19 06:29:52,60
339,2015-04-14 22:33:42,325
352,2015-08-25 12:30:30,335
288,2013-02-27 12:40:15,30
456,2018-01-16 05:19:00,337.57
422,2016-12-08 05:46:00,350.2
426,2017-06-27 01:30:49,320
453,2017-12-13 05:17:00,199.98
449,2018-03-11 22:44:12,455
413,2017-03-03 20:08:09,470
519,2019-08-07 01:39:03,395
478,2019-03-14 11:38:58,140
533,2020-02-16 00:05:40,355
483,2019-04-15 22:27:31,365
550,2019-10-11 10:53:37,180
553,2017-12-16 05:35:00,428.35
482,2019-02-24 22:38:11,545
557,2019-12-22 09:35:00,299.84
486,2019-05-18 15:19:00,85
516,2019-06-24 23:18:31,460
45,2010-06-04 21:01:14,355
52,2010-08-13 15:11:37,450
93,2009-02-17 01:20:00,262.84
80,2008-11-25 14:00:00,449.84
114,2011-03-19 03:29:18,190
130,2011-06-12 14:09:03,95
131,2011-06-13 14:22:41,135
140,2007-11-26 23:37:00,421.42
136,2011-12-14 21:19:40,205
165,2010-12-10 21:49:00,373.81
178,2012-04-19 15:17:31,410
214,2012-11-16 01:35:49,445
241,2013-11-02 22:04:43,430
228,2012-09-11 13:16:20,225
362,2015-12-06 01:02:45,530
375,2015-12-19 00:20:13,255
368,2015-10-25 23:03:23,455
323,2014-11-30 16:28:24,435
233,2012-08-17 09:43:39,25
200,2012-08-12 07:42:40,450
254,2014-03-24 22:34:37,295
199,2012-08-10 14:58:29,445
381,2015-10-29 05:30:00,363.72
333,2015-01-30 22:13:12,175
277,2013-08-07 22:36:57,225
341,2015-06-20 22:28:49,260
291,2012-08-05 20:29:00,515
292,2013-03-01 04:11:26,165
266,2013-06-22 11:35:40,355
357,2015-09-25 06:53:49,435
358,2015-09-28 07:30:07,580
238,2013-09-30 04:54:20,280
265,2013-06-19 12:38:04,390
322,2014-11-26 19:51:41,410
261,2013-04-15 04:02:21,85
275,2013-08-03 10:15:49,580
436,2017-10-27 21:44:38,140
445,2018-03-12 08:09:53,315
434,2017-08-08 07:49:05,355
443,2017-12-05 02:37:47,420
451,2018-04-04 08:12:41,395
427,2017-06-28 22:34:36,320
430,2017-07-03 01:59:42,425
563,2020-08-05 06:00:02,440
513,2019-04-21 01:32:31,385
473,2016-01-17 07:37:00,416.64
559,2020-08-27 05:52:25,315
545,2020-04-17 03:33:34,370
471,2016-01-13 08:03:00,426.33
506,2019-01-13 09:25:00,366.66
507,2019-01-14 17:48:00,99.95
508,2019-01-20 02:57:00,199.88
514,2019-04-23 08:53:35,380
512,2019-03-03 20:51:00,84.48
540,2017-11-05 11:42:00,401.45
3,2009-07-25 05:26:45,435
18,2010-03-09 22:07:27,290
7,2009-10-16 13:44:48,380
192,2012-06-17 01:55:28,415
89,2009-01-03 04:34:00,259.96
64,2010-04-10 08:58:59,150
190,2011-08-19 19:54:00,322.76
145,2007-12-20 18:00:00,240.74
146,2008-01-21 09:46:00,407.02
142,2007-11-29 14:26:00,453.61
158,2009-12-12 06:34:00,431.13
196,2012-06-15 12:24:53,400
124,2011-06-07 09:24:24,120
169,2010-03-29 09:45:00,411.91
186,2010-04-06 10:37:00,133.43
182,2010-04-02 06:55:00,270.13
176,2012-04-14 04:52:52,390
216,2011-10-25 18:44:00,464.92
267,2013-06-24 01:07:42,460
221,2012-03-17 22:08:00,388.94
225,2012-04-28 09:33:27,400
304,2014-08-03 04:12:52,480
385,2016-07-30 09:14:23,400
319,2014-11-06 05:52:04,225
332,2015-04-01 22:01:28,415
334,2015-02-02 22:22:55,265
278,2013-08-09 08:47:37,80
401,2016-10-29 21:54:24,175
405,2016-11-26 23:10:22,400
259,2013-04-07 15:41:11,65
287,2013-02-27 07:47:07,25
437,2017-10-30 21:59:02,445
414,2017-03-06 08:37:38,435
420,2017-04-03 10:28:31,245
421,2017-04-04 11:33:00,215
442,2017-12-01 23:46:52,375
446,2018-03-06 23:17:07,295
454,2017-10-31 02:50:00,421.25
415,2017-03-07 06:57:51,455
520,2019-08-08 03:33:24,380
530,2018-05-17 17:17:12,295
517,2019-06-27 05:00:18,360
458,2018-07-05 23:10:10,415
460,2018-08-02 00:59:45,370
490,2019-05-22 15:15:16,80
503,2019-06-05 19:19:10,60
552,2017-12-14 05:57:00,378.1
476,2018-12-17 03:26:25,365
511,2019-03-03 14:23:00,28.7
546,2019-10-06 03:18:10,160
547,2019-10-07 01:29:24,235
15,2010-01-13 15:38:01,420
9,2010-02-16 22:08:31,160
67,2010-10-23 02:14:16,415
60,2010-04-07 13:09:59,140
62,2010-04-08 14:55:01,80
79,2010-03-29 01:33:13,390
12,2009-12-12 06:08:03,410
16,2010-02-16 00:57:40,45
73,2010-11-04 13:21:50,125
19,2010-03-23 03:08:43,430
187,2011-08-13 03:14:00,290.72
92,2009-02-16 01:21:00,244.83
82,2011-03-05 05:47:28,465
65,2010-04-11 10:50:39,230
98,2011-05-14 07:40:00,200
118,2011-03-23 02:36:21,175
127,2011-06-09 11:23:59,140
126,2011-06-09 00:04:51,40
139,2007-11-25 07:53:00,505.14
156,2009-12-10 17:18:00,148.5
159,2010-03-22 00:37:00,423.23
160,2010-03-23 07:49:00,450.55
150,2008-03-25 23:37:00,418.16
166,2011-02-01 02:46:00,351.91
174,2012-04-16 05:58:27,150
170,2010-03-30 23:19:00,441.96
208,2012-07-23 11:14:00,236.02
219,2011-10-27 15:48:00,428.32
361,2015-10-14 05:19:05,310
373,2016-03-10 22:53:56,605
411,2016-10-17 08:33:27,140
320,2014-12-02 05:59:34,415
317,2014-11-11 10:23:12,140
388,2016-08-04 05:15:45,205
324,2014-12-02 12:01:57,445
256,2012-10-28 06:33:16,185
391,2016-01-12 03:10:00,256.79
237,2013-09-27 23:00:20,270
234,2012-08-17 13:09:15,100
274,2013-07-31 22:16:21,340
343,2015-07-19 22:12:30,370
351,2015-08-01 02:11:08,595
346,2015-05-11 00:24:33,430
345,2015-08-03 04:52:04,240
281,2012-07-30 10:49:24,430
406,2016-11-29 03:52:50,430
272,2013-07-27 11:45:37,330
305,2014-09-16 22:11:49,455
312,2014-09-30 22:44:09,145
302,2014-06-30 13:21:44,465
338,2015-04-12 22:43:35,105
348,2015-06-23 06:31:38,280
282,2012-08-01 04:58:11,290
431,2017-07-31 01:53:29,385
438,2017-10-01 15:26:34,395
428,2017-07-01 03:31:15,405
448,2018-03-09 13:13:09,360
564,2020-09-20 11:14:52,350
480,2019-02-19 09:18:52,375
515,2019-04-28 01:45:20,405
566,2020-09-23 11:23:56,385
488,2019-05-20 15:28:29,85
548,2019-10-08 21:35:28,235
531,2018-05-19 04:21:43,110
501,2019-06-02 15:26:49,85
487,2019-05-19 15:49:26,80
493,2019-05-25 15:24:07,85
539,2017-11-04 01:18:00,327.89
